"School.Name","Principal","Grades","Division.Schools","Street.Adress.and.Phone.Number","Phone.Number","City","Zip","State"
"Kingston Elementary","Grant L. Baker","09-12","Virginia Beach Public Schools","3532 Kings Grant Rd","757-648-2840","Virginia Beach","23452","VA"
"Kipps Elementary","Dr. Mark Crummey","06-08","Montgomery County Public Schools","2801 Prices Fork Rd","540-951-5760","Blacksburg","24060","VA"
"Kiptopeke Elementary","Ms. Subrina Parker","09-12","Northampton County Public Schools","24023 Fairview Rd","757-678-5151","Cape Charles","23310","VA"
"Knollwood Meadows Elementary","Barbara Tidd","09-12","Newport News Public Schools","826 Moyer Rd","757-886-7783","Newport News","23608","VA"
"Kyle R. Wilson Elementary","Ms. Gretchen Drzewucki","06-08","Prince William County Public Schools","5710 Liberty Hill Court","571-589-4327","Woodbridge","22193","VA"
"L. Douglas Wilder Middle","Erica E. Broudy","05-08","Henrico County Public Schools","6900 Wilkinson Rd","804-515-1100","Richmond","23227","VA"
"L.F. Addington Middle","Dr. Greg Jessee","06-08","Wise County Public Schools","324 School St","276-328-8821","Wise","24293","VA"
"L.F. Palmer Elementary","Dr. Melody Camm","09-12","Newport News Public Schools","100 Palmer Lane","757-881-5000","Newport News","23602","VA"
"L.L. Beazley Elementary","Mrs. Elizabeth Pell","09-12","Prince George County Public Schools","6700 Courthouse Rd","804-733-2745","Prince George","23875","VA"
"Laburnum Elementary","Nicole T. Boone","09-12","Henrico County Public Schools","500 Meriwether Ave","804-228-2720","Richmond","23222","VA"
"Lacey Spring Elementary","Ms. Tammy May","09-12","Rockingham County Public Schools","8621 North Valley Pike","540-433-7819","Harrisonburg","22802","VA"
"LaCrosse Elementary","Mrs. Connie S Puckett","06-08","Mecklenburg County Public Schools","1000 School Circle","434-757-7374","La Crosse","23950","VA"
"Lafayette Elementary","Mrs. Courtney Wheeler","09-12","Fredericksburg Public Schools","3 Learning Lane","540-310-0029","Fredericksburg","22401-3951","VA"
"Lafayette High","Dr. Daniel Miani","05-07","Williamsburg-James City County Public Schools","4460 Longhill Road","757-565-0373","Williamsburg","23188","VA"
"Lake Anne Elementary","Jill Stewart","06-08","Fairfax County Public Schools","11510 North Shore Dr","703-326-3500","Reston","20190","VA"
"Lake Braddock Secondary","Daniel Smith","06-08","Fairfax County Public Schools","9200 Burke Lake Rd","703-426-1000","Burke","22015","VA"
"Lake Ridge Elementary","Ms. Sarah Harrington","06-08","Prince William County Public Schools","11970 Hedges Run Dr","703-494-9153","Woodbridge","22192","VA"
"Lake Ridge Middle","James Dutrow","09-12","Prince William County Public Schools","12350 Mohican Rd","703-494-5154","Woodbridge","22192","VA"
"Lake Taylor","Dr. Melanie Patterson","09-12","Norfolk Public Schools","1380 Kempsville Rd","757-892-3230","Norfolk","23502","VA"
"Lake Taylor High","Latesha Wade Jenkins","06-08","Norfolk Public Schools","1384 Kempsville Rd","757-892-3200","Norfolk","23502","VA"
"Lakeland High","Mr. Douglas Wagoner","09-12","Suffolk Public Schools","214 Kenyon Road","757-925-5790","Suffolk","23434","VA"
"Lakemont Elementary","Ms. Erika Moseley","07-08","Petersburg Public Schools","51 Gibbons St","804-862-7007","Petersburg","23803","VA"
"Lakeside Elementary","Holly H. Drake","09-12","Henrico County Public Schools","6700 Cedar Croft St","804-261-5050","Richmond","23228","VA"
"Lakeside Middle","Megan Wood","06-08","Albemarle County Public Schools","2801 Powell Creek Drive","434-975-0599","Charlottesville","22911-7402","VA"
"Lakeview Elementary","Dr. Patrick Neuman","03-05","Colonial Heights Public Schools","401 Taswell Ave","804-524-3435","Colonial Heights","23834-3798","VA"
"Lakeview Elementary","Mrs. Garyn Moody","06-08","Portsmouth Public Schools","1300 Horne Ave","757-465-2901","Portsmouth","23701-3122","VA"
"Lancaster High","Mrs. Tara Booth","07-08","Lancaster County Public Schools","8815 Mary Ball Rd","804-462-5100","Lancaster","22503","VA"
"Lancaster Middle","Ms. Jennifer Eddy","06-08","Lancaster County Public Schools","191 School Street","804-462-5100","Kilmarnock","22482","VA"
"Lancaster Primary","Dr. Bambi Thompson","09-12","Lancaster County Public Schools","36 Primary School Circle","804-462-5100","Lancaster","22503","VA"
"Landstown Elementary","Ashley C. Godfrey","05-08","Virginia Beach Public Schools","2212 Recreation Dr","757-648-2880","Virginia Beach","23456","VA"
"Landstown High","Dr. Paula Johnson","06-08","Virginia Beach Public Schools","2001 Concert Dr.","757-648-5500","Virginia Beach","23456","VA"
"Landstown Middle","Dr. Mark G. Makovec","09-12","Virginia Beach Public Schools","2204 Recreation Dr","757-648-4750","Virginia Beach","23456","VA"
"Lane Elementary","Christine Prahl","09-12","Fairfax County Public Schools","7137 Beulah St","703-924-7700","Alexandria","22315","VA"
"Langley High","Kimberly Greer","09-12","Fairfax County Public Schools","6520 Georgetown Pike","703-287-2700","McLean","22101","VA"
"Langston High Continuation Program","Mr. Chip Bonar","09-12","Arlington County Public Schools","2121 N Culpeper St","703-228-5295","Arlington","22207","VA"
"Larchmont Elementary","Dr. James Peterson","06-08","Norfolk Public Schools","1145 Bolling Ave","757-451-4180","Norfolk","23508","VA"
"Larkspur Middle","Mr. Carey Manugo","06-08","Virginia Beach Public Schools","4696 Princess Anne Rd","757-648-4800","Virginia Beach","23462","VA"
"Larrymore Elementary","Mr. David Faircloth","07-08","Norfolk Public Schools","7600 Halprin Dr","757-531-3070","Norfolk","23518","VA"
"Laurel Elementary","Mr. Franklin E. Hawks","06-08","Carroll County Public Schools","26 Pleasant View Road","276-728-9247","Austinville","24312","VA"
"Laurel Hill Elementary","Janice Edwards-Dalton","09-12","Fairfax County Public Schools","8390 Laurel Crest Dr.","703-551-5300","Lorton","22079","VA"
"Laurel Lane Elementary","Dr. Karen Swann","09-12","Williamsburg-James City County Public Schools","112 Laurel Lane","757-229-7597","Williamsburg","23188","VA"
"Laurel Meadow Elementary","Bradley Davis","PK-5","Hanover County Public Schools","8248 Lee-Davis Road","804-723-2040","Mechanicsville","23111","VA"
"Laurel Park Middle","Mrs. Katrina Perry","06-08","Henry County Public Schools","280 Laurel Park Avenue","276-632-7216","Martinsville","24112","VA"
"Laurel Ridge Elementary","Ms. Tonya F. Wassenberg","06-08","Fairfax County Public Schools","10110 Commonwealth Blvd","703-426-3700","Fairfax","22032","VA"
"Lebanon Elementary","Mrs. Tabitha Long","06-08","Russell County Public Schools","56 George Ben Whited Drive","276-889-6531","Lebanon","24266","VA"
"Lebanon High","Mr. Joseph Long","06-08","Russell County Public Schools","105 Charles C Long Drive","276-889-6539","Lebanon","24266","VA"
"Lebanon Middle","Mr. Nathan Breeding","07-08","Russell County Public Schools","53 George Ben Whited Dr.","276-889-6548","Lebanon","24266","VA"
"Lebanon Primary","Mrs. Rebecca Sykes","09-12","Russell County Public Schools","919 East Main Street","276-889-4507","Lebanon","24266","VA"
"Lee High","Mr. Brian Coomer","09-12","Lee County Public Schools","200 Generals Lane","276-346-0173","Jonesville","24263","VA"
"Lee Hill Elementary","Carroll Lewter","08-12","Spotsylvania County Public Schools","3600 Lee Hill School Dr","540-898-1433","Fredericksburg","22408","VA"
"Lee M. Waid Elementary","Anitra Holland","09-12","Franklin County Public Schools","540 E Court Street","540-483-5736","Rocky Mount","24151","VA"
"Lees Corner Elementary","VaRonica Sloan","09-12","Fairfax County Public Schools","13500 Hollinger Ave","703-227-3500","Fairfax","22033","VA"
"Leesburg Elementary","Shawn Lacey","09-12","Loudoun County Public Schools","323 Plaza St NE","571-252-2860","Leesburg","20176","VA"
"Leesville Road Elementary","Mr. Joel Slater","09-12","Campbell County Public Schools","25 Lewis Way","434-239-0303","Lynchburg","24502","VA"
"Leesylvania Elementary","Ms. Margaret MacGregor","05-08","Prince William County Public Schools","15800 Neabsco Rd","703-670-8268","Woodbridge","22191","VA"
"Legacy Elementary","Kirsten O'Hara","06-08","Loudoun County Public Schools","22995 Minerva Drive","703-957-4425","Ashburn","20148","VA"
"Lemon Road Elementary","Ashley Castillo","07-08","Fairfax County Public Schools","7230 Idylwood Rd","703-714-6400","Falls Church","22043","VA"
"Leslie Fox Keyser Elementary","Mrs. Shamika A. McDonald","06-08","Warren County Public Schools","1015 Stonewall Dr","540-635-3125","Front Royal","22630","VA"
"Leslie H. Walton Middle","Mr. Josh Walton","09-12","Albemarle County Public Schools","4217 Red Hill Rd","434-977-5615","Charlottesville","22903","VA"
"Lewis and Clark Elementary","Mrs. Cynthia Brown","06-08","Caroline County Public Schools","18101 Clark & York Blvd","804-448-0175","Ruther Glen","22546","VA"
"Lewis High","Alfonso Smith","01-08","Fairfax County Public Schools","6540 Franconia Rd","703-924-8300","Springfield","22150","VA"
"Liberty Elementary","Paul Pack","06-08","Loudoun County Public Schools","25491 Riding Center Drive","703-957-4370","South Riding","20152","VA"
"Liberty High","Mr. Justin Tucker","06-08","Bedford County Public Schools","100 Liberty Minutemen Dr","540-586-2541","Bedford","24523","VA"
"Liberty High","Mr. Sam Cox","06-12","Fauquier County Public Schools","6300 Independence Ave","540-422-7360","Bealeton","22712","VA"
"Liberty Middle","Mr. Scott Graham","09-12","Bedford County Public Schools","1237 Lacey Putney Way","540-586-7735","Bedford","24523","VA"
"Liberty Middle","Adam Erbrecht","09-12","Fairfax County Public Schools","6801 Union Mill Rd.","703-988-8100","Clifton","20124","VA"
"Lightfoot Elementary","Mrs. Merilee Grubb","02-04","Orange County Public Schools","11360 Zachary Taylor Hwy","540-661-4520","Unionville","22567","VA"
"Lightridge High","Ryan Hitchman","06-08","Loudoun County Public Schools","41025 Collaboration Drive","571-367-4100","Aldie","20105","VA"
"Lincoln Elementary","David Michener","06-08","Loudoun County Public Schools","18048 Lincoln Rd","540-751-2430","Purcellville","20132","VA"
"Lincoln Terrace Elementary","Mr. John Otey","09-12","Roanoke Public Schools","1802 Liberty Rd NW","540-853-2994","Roanoke","24012","VA"
"Lindenwood Elementary","Ms. Cheryl Jordan","07-08","Norfolk Public Schools","2700 Ludlow St","757-628-2577","Norfolk","23504","VA"
"Linkhorn Park Elementary","Ms. Kathleen N. Scarborough","09-12","Virginia Beach Public Schools","977 First Colonial Rd","757-648-2920","Virginia Beach","23454","VA"
"Linkhorne Elementary","Lillian Guzlowski","06-08","Lynchburg Public Schools","2501 Linkhorne Dr","434-515-5240","Lynchburg","24503-3398","VA"
"Linkhorne Middle","Kathleen Dills","09-12","Lynchburg Public Schools","2525 Linkhorne Dr","434-515-5330","Lynchburg","24503-3399","VA"
"Linville-Edom Elementary","Ms. Karen Ridder","06-08","Rockingham County Public Schools","3653 Linville-Edom Rd","540-833-6916","Linville","22834","VA"
"Linwood Holton Elementary","Nikea Hurt","06-08","Richmond Public Schools","1600 W. Laburnum Ave","804-228-5310","Richmond","23227","VA"
"Little Creek Elementary","Cheryl Coghlan","09-12","Norfolk Public Schools","7900 Tarpon Place","757-531-3080","Norfolk","23518","VA"
"Little River Elementary","Kevin Murphy","09-12","Loudoun County Public Schools","43464 Hyland Hills St","703-957-4360","South Riding","20152","VA"
"Little Run Elementary","Monica Mohr","09-12","Fairfax County Public Schools","4511 Olley Ln","703-503-3500","Fairfax","22032","VA"
"Livingston Elementary","Cynthia L. Franzen","09-12","Spotsylvania County Public Schools","6057 Courthouse Rd","540-895-5101","Spotsylvania","22551","VA"
"Lloyd C. Bird High","Adrienne Blanton","05-08","Chesterfield County Public Schools","10301 Courthouse Rd.","804-768-6110","Chesterfield","23832-6616","VA"
"Loch Lomond Elementary","Vineeth Lagouit","07-08","Prince William County Public Schools","7900 Augusta Rd","703-368-4128","Manassas","20111","VA"
"Locust Grove Elementary","Dr. Eileen Oliver-Eggert","05-08","Orange County Public Schools","31208 Constitution Highway","540-661-4440","Locust Grove","22508","VA"
"Locust Grove Middle","Todd Satterwhite","06-08","Orange County Public Schools","6368 Flat Run Road","540-661-4480","Locust Grove","22508","VA"
"Locust Grove Primary","Mr. Lee Finger","09-12","Orange County Public Schools","31230 Constitution Highway","540-661-4420","Locust Grove","22508","VA"
"Lois Hornsby Middle","Dr. Jessica Ellison","01-08","Williamsburg-James City County Public Schools","850 Jolly Pond Road","757-565-9400","Williamsburg","23188","VA"
"London Towne Elementary","Wiatta Padmore","09-12","Fairfax County Public Schools","6100 Stone Rd","703-227-5400","Centreville","20120-1699","VA"
"Long Branch Elementary","Jessica DaSilva","06-08","Arlington County Public Schools","33 N Fillmore St","703-228-4220","Arlington","22201","VA"
"Longdale Elementary","Dr. Shawnya S. Tolliver","09-12","Henrico County Public Schools","9500 Norfolk St","804-261-5095","Glen Allen","23060","VA"
"Longfellow Middle","James Patrick","09-12","Fairfax County Public Schools","2000 Westmoreland St","703-533-2600","Falls Church","22043","VA"
"Lord Botetourt High","Mrs. Beth Mast","06-08","Botetourt County Public Schools","1435 Roanoke Rd","540-992-1261","Daleville","24083","VA"
"Lorton Station Elementary","Joanne Jackson","09-12","Fairfax County Public Schools","9298 Lewis Chapel Rd.","571-642-6000","Lorton","22079","VA"
"Loudoun County High","Dr. Michelle Luttrell","06-08","Loudoun County Public Schools","415 Dry Mill Rd SW","571-252-2000","Leesburg","20175","VA"
"Loudoun Valley High","Ms. Susan Ross","09-12","Loudoun County Public Schools","340 N Maple Ave","540-751-2400","Purcellville","20132","VA"
"Louisa County High","Mr. Lee Downey","09-12","Louisa County Public Schools","757 Davis Hwy","540-894-5436","Mineral","23117","VA"
"Louisa County Middle","Shaun Woody","09-12","Louisa County Public Schools","1009 Davis Hwy","540-894-5115","Mineral","23117","VA"
"Louise A. Benton Middle","Joseph Graczyk","06-08","Prince William County Public Schools","7411 Hoadly Rd","703-791-0727","Manassas","20112","VA"
"Lovettsville Elementary","Linda Textoris","09-12","Loudoun County Public Schools","49 S Loudoun St","540-751-2470","Lovettsville","20180-8513","VA"
"Lowes Island Elementary","Kate Puschak","09-12","Loudoun County Public Schools","20755 Whitewater Dr","571-434-4450","Sterling","20165","VA"
"Lucille M. Brown Middle","Stacy Gaines","05-07","Richmond Public Schools","6300 Jahnke Rd","804-319-3013","Richmond","23225","VA"
"Lucketts Elementary","Carolyn Clement","06-08","Loudoun County Public Schools","14550 James Monroe Hwy","571-252-2070","Leesburg","20176","VA"
"Lunenburg Middle","Mrs. Claudia Staples-Morris","05-07","Lunenburg County Public Schools","583 Tomlinson Road","434-696-2161","Victoria","23974-9515","VA"
"Luray Elementary","Mrs. Elizabeth Dodson","09-12","Page County Public Schools","555 First St","540-743-4078","Luray","22835","VA"
"Luray High","Mrs. Nicky Clark","09-12","Page County Public Schools","243 Bulldog Drive","540-743-3800","Luray","22835","VA"
"Luray Middle","Mrs. Heather Foltz","06-08","Page County Public Schools","14 Luray Avenue","540-843-2660","Luray","22835","VA"
"Luther P. Jackson Middle","Trina Craddox","09-12","Surry County Public Schools","4255 New Design Rd","757-267-2810","Dendron","23839-2212","VA"
"Luther W. Machen Elementary","Ms. Jennifer M. Humble","09-12","Hampton Public Schools","20 Sacramento Dr","757-727-2900","Hampton","23666","VA"
"Luxford Elementary","Ms. Allison H. Jordan","09-12","Virginia Beach Public Schools","4808 Haygood Rd","757-648-2960","Virginia Beach","23455","VA"
"Lylburn Downing Middle","Dr. Abbott Keesee","06-08","Lexington Public Schools","302 Diamond St","540-463-3532","Lexington","24450","VA"
"Lyles-Crouch Elementary","Dr. Patricia Zissios","09-12","Alexandria Public Schools","530 S St Asaph St","703-706-4430","Alexandria","22314","VA"
"Lynbrook Elementary","Kathleen Sain","06-08","Fairfax County Public Schools","5801 Backlick Rd","703-866-2940","Springfield","22150","VA"
"Lynnhaven Elementary","Teri A. Breaux","09-12","Virginia Beach Public Schools","210 Dillon Dr","757-648-3000","Virginia Beach","23452-6702","VA"
"Lynnhaven Middle","Tennille Bowser","05-06","Virginia Beach Public Schools","1250 Bayne Dr","757-648-4850","Virginia Beach","23454","VA"
"Mack Benn Jr. Elementary","Mr. Garrick Rhoads","06-08","Suffolk Public Schools","1253 Nansemond Pkwy","757-934-6224","Suffolk","23434","VA"
"Mackey-Thompson Learning Center","Mrs. Leslie Taylor","09-12","Richmond County Public Schools","13027 Historyland Highway","804-333-3560","Warsaw","22572","VA"
"Macy Mcclaugherty Elementary/Middle","Dr. Michael Brown","09-12","Giles County Public Schools","1001 Henson Ave","540-921-1363","Pearisburg","24134","VA"
"Madison County High","Mrs. Betty-Jo Wynham","03-05","Madison County Public Schools","68 Mountaineer Lane","540-948-3785","Madison","22727","VA"
"Madison Elementary","Ms. Teresa Hicks","02-03","Caroline County Public Schools","9075 Chance Place","804-448-2171","Ruther Glen","22546","VA"
"Madison Heights Elementary","Jeremy Hutchinson","07-08","Amherst County Public Schools","287 Learning Lane","434-846-2151","Madison Heights","24572","VA"
"Madison High","Greg Hood","06-08","Fairfax County Public Schools","2500 James Madison Dr","703-319-2300","Vienna","22181","VA"
"Madison Primary","Mr. John Michael Coiner","09-12","Madison County Public Schools","158 Primary School Drive","540-948-3781","Madison","22727","VA"
"Madison's Trust Elementary","David Stewart","03-05","Loudoun County Public Schools","42380 Creighton Rd","571-252-1018","Ashburn","20148","VA"
"Magna Vista High","Mrs. Jo Ellen Hylton","09-12","Henry County Public Schools","701 Magna Vista School Rd","276-956-3147","Ridgeway","24148","VA"
"Magruder Elementary","Mark Kirk","09-12","York County Public Schools","700 Penniman Rd","757-220-4067","Williamsburg","23185","VA"
"Malibu Elementary","Courtney J. Scarcelli","06-08","Virginia Beach Public Schools","3632 Edinburgh Dr","757-648-3040","Virginia Beach","23452-3655","VA"
"Manassas Park Elementary","Mrs. Stacey Mamon","09-12","Manassas Park Public Schools","9298 Cougar Court","703-368-2032","Manassas Park","20111-1899","VA"
"Manassas Park High","Charles Forrest","06-08","Manassas Park Public Schools","8200 Euclid Ave","703-361-9131","Manassas Park","20111-2394","VA"
"Manassas Park Middle","Matt Sieloff","09-12","Manassas Park Public Schools","8202 Euclid Ave","703-361-1510","Manassas Park","20111-2394","VA"
"Manchester High","Christin Ellis","09-12","Chesterfield County Public Schools","12601 Bailey Bridge Rd.","804-739-6275","Midlothian","23112-1805","VA"
"Manchester Middle","David Altizer","06-08","Chesterfield County Public Schools","7401 Hull Street Rd.","804-674-1385","North Chesterfield","23235-5807","VA"
"Manor High","Dr. Timothy E. Johnson","05-08","Portsmouth Public Schools","1401 Elmhurst Ln","757-465-2907","Portsmouth","23701-1725","VA"
"Mantua Elementary","Linda Shannon","06-08","Fairfax County Public Schools","9107 Horner Court","703-645-6300","Fairfax","22031","VA"
"Margaret Beeks Elementary","Dr. Beth Poff","09-12","Montgomery County Public Schools","709 Airport Rd","540-951-5700","Blacksburg","24060","VA"
"Margaret Brent Elementary","Mr. Brian M. Fitzgerald","09-12","Stafford County Public Schools","2125 Mountain View Rd","540-658-6790","Stafford","22556","VA"
"Margaret M. Pierce Elementary","Laura Hoover","09-12","Fauquier County Public Schools","12074 James Madison St","540-422-7630","Remington","22734","VA"
"Marguerite F. Christian Elementary","Rovez Ingram","09-12","Chesterfield County Public Schools","14801 Woods Edge Rd.","804-530-5733","Colonial Heights","23834-6031","VA"
"Marion Elementary","Mrs. Sue Davidson","06-08","Smyth County Public Schools","188 Star Mountain Dr","276-783-3021","Marion","24354","VA"
"Marion Middle","Ms. Edwina Richardson","09-12","Smyth County Public Schools","134 Wilden St","276-783-4466","Marion","24354","VA"
"Marion Senior High","Mr. Mike Davidson","05-07","Smyth County Public Schools","848 Stage ST","276-783-4731","Marion","24354","VA"
"Marshall High","Jeffrey Litz","06-08","Fairfax County Public Schools","7731 Leesburg Pike","703-714-5400","Falls Church","22043","VA"
"Marshall Middle","Ms. Donna Guzman","06-08","Fauquier County Public Schools","4048 Zulla Road","540-422-7470","Marshall","20115","VA"
"Marshall Road Elementary","Jennifer Heiges","09-12","Fairfax County Public Schools","730 Marshall Rd SW","703-937-1500","Vienna","22180","VA"
"Martin Luther King Jr. Elementary","Ms. Amy Larsen","06-08","Prince William County Public Schools","1800 Horner Rd","703-590-1616","Woodbridge","22191","VA"
"Martin Luther King Jr. Middle","Inett Dabney","09-12","Richmond Public Schools","1000 Mosby St","804-780-8011","Richmond","23223-5099","VA"
"Martinsville High","Mr. Ajamu A. Dixon","07-08","Martinsville Public Schools","351 Commonwealth Blvd","276-403-5870","Martinsville","24112","VA"
"Martinsville Middle","Ms. Cynthia Tarpley","09-12","Martinsville Public Schools","201 Brown St.","276-403-5886","Martinsville","24112","VA"
"Marumsco Hills Elementary","Julie Cuocci","06-08","Prince William County Public Schools","14100 Page St","703-494-3252","Woodbridge","22191","VA"
"Mary Calcott Elementary","Mrs. Danielle McIntyre","03-05","Norfolk Public Schools","137 Westmont Avenue","757-531-3039","Norfolk","23503","VA"
"Mary Carr Greer Elementary","Steve Saunders","06-08","Albemarle County Public Schools","190 Lambs Lane","434-973-8371","Charlottesville","22901-8979","VA"
"Mary Ellen Henderson Middle","Mr. Rob Carey","07-08","Falls Church Public Schools","105 Mustang Alley","703-720-5700","Falls Church","22043","VA"
"Mary G. Porter Traditional","Kaitlyn Engelmeier","06-08","Prince William County Public Schools","15311 Forest Grove Drive","703-580-6501","Woodbridge","22191","VA"
"Mary Munford Elementary","Mr. Gregory P. Muzik","09-12","Richmond Public Schools","211 Westmoreland Street","804-780-6267","Richmond","23226-1399","VA"
"Mary Passage Middle","Jametha Ruffin","05-08","Newport News Public Schools","400 Atkinson Way","757-886-7600","Newport News","23608","VA"
"Mary S. Peake Elementary","Mr. Sharif Hicks","06-08","Hampton Public Schools","57 Salina St","757-727-1075","Hampton","23669","VA"
"Mary T. Christian Elementary","Ms. Shelley J. Lawrence","09-12","Hampton Public Schools","2009 Andrews Blvd","757-850-5092","Hampton","23663","VA"
"Mary W. Jackson Elementary","Ms. Chanda R. Mason","09-12","Hampton Public Schools","113 Wellington Dr","757-825-4641","Hampton","23666","VA"
"Mary Walter Elementary","Mr. Alexander O'Dell","09-12","Fauquier County Public Schools","4529 Morrisville Road","540-439-3279","Bealeton","22712","VA"
"Mary Williams Elementary","Ms. Danna Johnson","09-12","Prince William County Public Schools","3100 Panther Pride Drive","703-445-8376","Dumfries","22026","VA"
"Mason Crest Elementary","Sherry Shin","06-08","Fairfax County Public Schools","3705 Crest Dr","571-226-2600","Annandale","22003","VA"
"Mason's Cove Elementary","Amy Phelps","06-08","Roanoke County Public Schools","3370 Bradshaw Rd","540-387-6530","Salem","24153","VA"
"Massaponax High","Joseph Gabalski","07-08","Spotsylvania County Public Schools","8201 Jefferson Davis Hwy","540-710-0419","Fredericksburg","22407","VA"
"Mathews Elementary","Mrs. Cynthia W. Gray","06-08","Mathews County Public Schools","Rt 611, 347 Church Street","804-725-2580","Mathews","23109","VA"
"Mathews High","Dr. Andrew W. Greve","09-12","Mathews County Public Schools","Rt 198, 9889 Buckley Hall Road","804-725-3702","Mathews","23109","VA"
"Matoaca Elementary","Mary Thrift","09-12","Chesterfield County Public Schools","6627 River Rd","804-590-3100","South Chesterfield","23803-0057","VA"
"Matoaca High","Elizabeth Baber","06-08","Chesterfield County Public Schools","17700 Longhouse Lane","804-590-3108","Chesterfield","23838","VA"
"Matoaca Middle","Dr. Gayle Hines","06-08","Chesterfield County Public Schools","6001 Hickory Road","804-590-3130","Matoaca","23803-6410","VA"
"Matoaka Elementary","Kimberly Gryszko","09-12","Williamsburg-James City County Public Schools","4001 Brick Bat Road","757-564-4001","Williamsburg","23188","VA"
"Matthew Fontaine Maury High","Ms. Karen Berg","06-08","Norfolk Public Schools","322 Shirley Ave","757-628-3344","Norfolk","23517","VA"
"Matthew Whaley Elementary","Michael Stutt","06-08","Williamsburg-James City County Public Schools","301 Scotland St","757-229-1931","Williamsburg","23185","VA"
"Maude Trevvett Elementary","Arainau E. Neal","07-08","Henrico County Public Schools","2300 Trevvett Dr","804-261-5060","Richmond","23228","VA"
"Maury River Middle","Ms. Vicki W. Stevens","09-12","Rockbridge County Public Schools","600 Waddell St","540-463-3129","Lexington","24450","VA"
"Max Meadows Elementary","Mr. David Brett Booher","09-12","Wythe County Public Schools","213 School St","276-637-3211","Max Meadows","24360","VA"
"Maybeury Elementary","Bradley V. Fernald","06-08","Henrico County Public Schools","901 Maybeury Dr","804-750-2650","Richmond","23229","VA"
"Mayfield Intermediate","Dr. Donald Frischkorn","09-12","Manassas Public Schools","9400 Mayfield Court","571-377-6600","Manassas","20110","VA"
"McCleary Elementary","Gerri VanDyke","08-12","Craig County Public Schools","25345 Craigs Creek Road","Null","Null","Null","Null"
"McGaheysville Elementary","Ms. Leslie Kapuchuck","06-08","Rockingham County Public Schools","9508 Spotswood Trail","540-289-3004","McGaheysville","22840","VA"
"McHarg Elementary","Michelle Greene","06-08","Radford Public Schools","700 Twelfth St","540-731-3652","Radford","24141","VA"
"McLean High","Ellen Reilly","07-08","Fairfax County Public Schools","1633 Davidson Rd","703-714-5700","McLean","22101","VA"
"McNair Elementary","Merrell Dade","09-12","Fairfax County Public Schools","2499 Thomas Jefferson Dr.","703-793-4800","Herndon","20171","VA"
"McNair Upper Elementary","Melissa Goddin","09-12","Fairfax County Public Schools","2410 Fox Mill Road","703-793-4800","Herndon","20171","VA"
"Meadow View Elementary","Mrs. Katherine Renee Scott","09-12","Henry County Public Schools","740 Figsboro Road","276-647-7676","Martinsville","24112","VA"
"Meadowbrook High","Dr. Marcie Rice","06-08","Chesterfield County Public Schools","4901 Cogbill Rd.","804-743-3675","North Chesterfield","23234-5307","VA"
"Meadowland Elementary","Anna Purdy","06-08","Loudoun County Public Schools","729 S Sugarland Run Dr","571-434-4440","Sterling","20164","VA"
"Meadows of Dan Elementary","Amy Nester","06-08","Patrick County Public Schools","3003 Jeb Stuart Hwy","276-952-2424","Meadows of Dan","24120","VA"
"Meadowview Elementary","Dr. Jimmy Marcum","07-08","Washington County Public Schools","14050 Glenbrook Ave","276-739-3900","Meadowview","24361","VA"
"Meadville Elementary","Mr. Kevin M. Neal","06-08","Halifax County Public Schools","1011 Meadville School Loop","434-349-1012","Nathalie","24577","VA"
"Mechanicsville Elementary","Dr. Amy Robinson","08-12","Hanover County Public Schools","7425 Mechanicsville Elem Drive","804-723-3640","Mechanicsville","23111","VA"
"Mechanicsville High","Mr. Charles E. Stevens","09-12","Hanover County Public Schools","7052 Mechanicsville Pike","804-723-2200","Mechanicsville","23111","VA"
"Meherrin Elementary","Susan Fowler","06-08","Southampton County Public Schools","28600 Grays Shop Rd.","757-654-6461","Newsoms","23874","VA"
"Menchville High","Mr. Robert Surry","09-11","Newport News Public Schools","275 Menchville Rd","757-886-7722","Newport News","23602","VA"
"Mercer Middle","Nikisha Diehl","09-12","Loudoun County Public Schools","42149 Greenstone Dr.","703-957-4340","Aldie","20105","VA"
"Meridian High","Mr. David Serensits","09-12","Falls Church Public Schools","121 Mustang Alley","703-248-5500","Falls Church","22043","VA"
"Meriwether Lewis Elementary","Jennifer Underwood","09-12","Albemarle County Public Schools","1610 Owensville Road","434-293-9304","Charlottesville","22901-9407","VA"
"Metompkin Elementary","Ms. Ruth Tankard","08-12","Accomack County Public Schools","24501 Parksley Rd","757-665-1299","Parksley","23421","VA"
"Middleburg Community Charter","Stephen Robinson","09-12","Loudoun County Public Schools","101 North Madison Street","540-687-5048","Middleburg","20117","VA"
"Middlesex Elementary","Mrs. Danielle Daniel","06-08","Middlesex County Public Schools","823 Philpot Rd.","804-758-2496","Locust Hill","23092","VA"
"Middlesex High","Mrs. Susan Fleet","08-12","Middlesex County Public Schools","454 General Puller Highway","804-758-2132","Saluda","23149","VA"
"Middletown Elementary","Ms. Kristi Diminuco","06-08","Frederick County Public Schools","190 Mustang Ln","540-869-4615","Middletown","22645","VA"
"Midlothian High","Dr. Shawn Abel","08-12","Chesterfield County Public Schools","401 Charter Colony Pkwy.","804-378-2440","Midlothian","23114-4366","VA"
