"Division","Subgroup","School","Virginia.On.Time.Graduation.Rate","Completion.Rate"
"King William County Public Schools","Male","King William High",88.5,88.5
"King William County Public Schools","Students with Disabilities","King William High",82.1,85.7
"King William County Public Schools","White","King William High",92.1,92.1
"King and Queen County Public Schools","All Students","Central High",93.2,95.5
"King and Queen County Public Schools","Black","Central High",100,100
"King and Queen County Public Schools","Economically Disadvantaged","Central High",96.6,96.6
"King and Queen County Public Schools","Female","Central High",100,100
"King and Queen County Public Schools","Male","Central High",86.4,90.9
"King and Queen County Public Schools","White","Central High",87.5,87.5
"Lancaster County Public Schools","All Students","Lancaster High",91.4,92.5
"Lancaster County Public Schools","Black","Lancaster High",93,93
"Lancaster County Public Schools","Economically Disadvantaged","Lancaster High",87.3,89.1
"Lancaster County Public Schools","Female","Lancaster High",91.1,93.3
"Lancaster County Public Schools","Male","Lancaster High",91.7,91.7
"Lancaster County Public Schools","Students with Disabilities","Lancaster High",84.6,84.6
"Lancaster County Public Schools","White","Lancaster High",87.5,90
"Lee County Public Schools","All Students","Lee High",87.5,89.7
"Lee County Public Schools","Economically Disadvantaged","Lee High",80.2,83.3
"Lee County Public Schools","Female","Lee High",88.1,89.3
"Lee County Public Schools","Male","Lee High",87,90
"Lee County Public Schools","Students with Disabilities","Lee High",77.8,81.5
"Lee County Public Schools","White","Lee High",87,89.3
"Lee County Public Schools","All Students","Thomas Walker High",88.3,91.7
"Lee County Public Schools","Economically Disadvantaged","Thomas Walker High",75,82.1
"Lee County Public Schools","Female","Thomas Walker High",100,100
"Lee County Public Schools","Male","Thomas Walker High",80.6,86.1
"Lee County Public Schools","Students with Disabilities","Thomas Walker High",83.3,83.3
"Lee County Public Schools","White","Thomas Walker High",88.1,91.5
"Loudoun County Public Schools","All Students","Briar Woods High ",99.6,99.6
"Loudoun County Public Schools","Asian","Briar Woods High ",100,100
"Loudoun County Public Schools","Black","Briar Woods High ",100,100
"Loudoun County Public Schools","Economically Disadvantaged","Briar Woods High ",96.7,96.7
"Loudoun County Public Schools","English Learners","Briar Woods High ",90,90
"Loudoun County Public Schools","Female","Briar Woods High ",99.5,99.5
"Loudoun County Public Schools","Hispanic","Briar Woods High ",97,97
"Loudoun County Public Schools","Male","Briar Woods High ",99.6,99.6
"Loudoun County Public Schools","Multiple Races","Briar Woods High ",96.3,96.3
"Loudoun County Public Schools","Students with Disabilities","Briar Woods High ",100,100
"Loudoun County Public Schools","White","Briar Woods High ",100,100
"Loudoun County Public Schools","All Students","Broad Run High",97.2,97.7
"Loudoun County Public Schools","Asian","Broad Run High",98.9,98.9
"Loudoun County Public Schools","Black","Broad Run High",100,100
"Loudoun County Public Schools","Economically Disadvantaged","Broad Run High",92.1,93.4
"Loudoun County Public Schools","English Learners","Broad Run High",79.3,79.3
"Loudoun County Public Schools","Female","Broad Run High",97.9,97.9
"Loudoun County Public Schools","Hispanic","Broad Run High",91.4,91.4
"Loudoun County Public Schools","Homeless","Broad Run High",50,58.3
"Loudoun County Public Schools","Male","Broad Run High",96.5,97.5
"Loudoun County Public Schools","Multiple Races","Broad Run High",94.7,100
"Loudoun County Public Schools","Students with Disabilities","Broad Run High",97.4,100
"Loudoun County Public Schools","White","Broad Run High",97.9,98.4
"Loudoun County Public Schools","All Students","Dominion High",93.9,94.4
"Loudoun County Public Schools","Asian","Dominion High",98.2,98.2
"Loudoun County Public Schools","Black","Dominion High",95.8,100
"Loudoun County Public Schools","Economically Disadvantaged","Dominion High",90.6,91.3
"Loudoun County Public Schools","English Learners","Dominion High",80.9,82.4
"Loudoun County Public Schools","Female","Dominion High",95.4,95.9
"Loudoun County Public Schools","Hispanic","Dominion High",86.6,87.3
"Loudoun County Public Schools","Homeless","Dominion High",68.8,68.8
"Loudoun County Public Schools","Male","Dominion High",92.4,92.9
"Loudoun County Public Schools","Multiple Races","Dominion High",92.3,92.3
"Loudoun County Public Schools","Students with Disabilities","Dominion High",90.2,90.2
"Loudoun County Public Schools","White","Dominion High",98.4,98.4
"Loudoun County Public Schools","All Students","Freedom High ",99.4,99.4
"Loudoun County Public Schools","Asian","Freedom High ",99.3,99.3
"Loudoun County Public Schools","Black","Freedom High ",92.9,92.9
"Loudoun County Public Schools","Economically Disadvantaged","Freedom High ",98,98
"Loudoun County Public Schools","English Learners","Freedom High ",100,100
"Loudoun County Public Schools","Female","Freedom High ",99.6,99.6
"Loudoun County Public Schools","Hispanic","Freedom High ",100,100
"Loudoun County Public Schools","Male","Freedom High ",99.2,99.2
"Loudoun County Public Schools","Multiple Races","Freedom High ",100,100
"Loudoun County Public Schools","Students with Disabilities","Freedom High ",100,100
"Loudoun County Public Schools","White","Freedom High ",100,100
"Loudoun County Public Schools","All Students","Heritage High",94.8,95.3
"Loudoun County Public Schools","Asian","Heritage High",100,100
"Loudoun County Public Schools","Black","Heritage High",96.9,96.9
"Loudoun County Public Schools","Economically Disadvantaged","Heritage High",81.9,83.1
"Loudoun County Public Schools","English Learners","Heritage High",57.9,60.5
"Loudoun County Public Schools","Female","Heritage High",95.4,96
"Loudoun County Public Schools","Hispanic","Heritage High",75,76.6
"Loudoun County Public Schools","Homeless","Heritage High",50,50
"Loudoun County Public Schools","Male","Heritage High",94.1,94.7
"Loudoun County Public Schools","Multiple Races","Heritage High",100,100
"Loudoun County Public Schools","Students with Disabilities","Heritage High",97.9,97.9
"Loudoun County Public Schools","White","Heritage High",99,99.5
"Loudoun County Public Schools","All Students","John Champe High",98,98.4
"Loudoun County Public Schools","Asian","John Champe High",99.5,99.5
"Loudoun County Public Schools","Black","John Champe High",96.8,96.8
"Loudoun County Public Schools","Economically Disadvantaged","John Champe High",92.4,93.7
"Loudoun County Public Schools","English Learners","John Champe High",84.6,84.6
"Loudoun County Public Schools","Female","John Champe High",98.2,98.6
"Loudoun County Public Schools","Hispanic","John Champe High",93.8,95.4
"Loudoun County Public Schools","Male","John Champe High",97.8,98.1
"Loudoun County Public Schools","Multiple Races","John Champe High",97.1,100
"Loudoun County Public Schools","Students with Disabilities","John Champe High",95.3,97.7
"Loudoun County Public Schools","White","John Champe High",99,99
"Loudoun County Public Schools","All Students","Loudoun County High",96.5,97
"Loudoun County Public Schools","Asian","Loudoun County High",100,100
"Loudoun County Public Schools","Black","Loudoun County High",100,100
"Loudoun County Public Schools","Economically Disadvantaged","Loudoun County High",90.1,91.4
"Loudoun County Public Schools","English Learners","Loudoun County High",81.6,81.6
"Loudoun County Public Schools","Female","Loudoun County High",96.4,96.9
"Loudoun County Public Schools","Hispanic","Loudoun County High",88.2,89.2
"Loudoun County Public Schools","Male","Loudoun County High",96.6,97.1
"Loudoun County Public Schools","Multiple Races","Loudoun County High",100,100
"Loudoun County Public Schools","Students with Disabilities","Loudoun County High",95.8,97.9
"Loudoun County Public Schools","White","Loudoun County High",98.8,99.2
"Loudoun County Public Schools","All Students","Loudoun Valley High",97.9,98.5
"Loudoun County Public Schools","Asian","Loudoun Valley High",100,100
"Loudoun County Public Schools","Black","Loudoun Valley High",100,100
"Loudoun County Public Schools","Economically Disadvantaged","Loudoun Valley High",93.1,96.6
"Loudoun County Public Schools","English Learners","Loudoun Valley High",83.3,83.3
"Loudoun County Public Schools","Female","Loudoun Valley High",98,98
"Loudoun County Public Schools","Hispanic","Loudoun Valley High",91.4,94.3
"Loudoun County Public Schools","Male","Loudoun Valley High",97.9,98.9
"Loudoun County Public Schools","Multiple Races","Loudoun Valley High",100,100
"Loudoun County Public Schools","Students with Disabilities","Loudoun Valley High",100,100
"Loudoun County Public Schools","White","Loudoun Valley High",98.4,98.8
"Loudoun County Public Schools","All Students","Park View High",89.7,89.9
"Loudoun County Public Schools","Asian","Park View High",100,100
"Loudoun County Public Schools","Black","Park View High",96.3,96.3
"Loudoun County Public Schools","Economically Disadvantaged","Park View High",89.1,89.5
"Loudoun County Public Schools","English Learners","Park View High",78.6,79.2
"Loudoun County Public Schools","Female","Park View High",92.6,92.6
"Loudoun County Public Schools","Hispanic","Park View High",84.8,85.2
"Loudoun County Public Schools","Homeless","Park View High",59.2,59.2
"Loudoun County Public Schools","Male","Park View High",86.6,87.1
"Loudoun County Public Schools","Students with Disabilities","Park View High",83.3,83.3
"Loudoun County Public Schools","White","Park View High",98,98
"Loudoun County Public Schools","All Students","Potomac Falls High",97.5,98.3
"Loudoun County Public Schools","Asian","Potomac Falls High",97.8,97.8
"Loudoun County Public Schools","Black","Potomac Falls High",95.5,95.5
"Loudoun County Public Schools","Economically Disadvantaged","Potomac Falls High",94.7,95.8
"Loudoun County Public Schools","English Learners","Potomac Falls High",87.5,87.5
"Loudoun County Public Schools","Female","Potomac Falls High",98.5,99
"Loudoun County Public Schools","Hispanic","Potomac Falls High",93.5,94.6
"Loudoun County Public Schools","Male","Potomac Falls High",96.6,97.6
"Loudoun County Public Schools","Multiple Races","Potomac Falls High",100,100
"Loudoun County Public Schools","Students with Disabilities","Potomac Falls High",98.2,98.2
"Loudoun County Public Schools","White","Potomac Falls High",99.1,100
"Loudoun County Public Schools","All Students","Riverside High",98.5,98.5
"Loudoun County Public Schools","Asian","Riverside High",100,100
"Loudoun County Public Schools","Black","Riverside High",92.9,92.9
"Loudoun County Public Schools","Economically Disadvantaged","Riverside High",96.6,96.6
"Loudoun County Public Schools","English Learners","Riverside High",100,100
"Loudoun County Public Schools","Female","Riverside High",98.3,98.3
"Loudoun County Public Schools","Hispanic","Riverside High",100,100
"Loudoun County Public Schools","Male","Riverside High",98.7,98.7
"Loudoun County Public Schools","Multiple Races","Riverside High",100,100
"Loudoun County Public Schools","Students with Disabilities","Riverside High",98,98
"Loudoun County Public Schools","White","Riverside High",98.5,98.5
"Loudoun County Public Schools","All Students","Rock Ridge High",99,99.2
"Loudoun County Public Schools","Asian","Rock Ridge High",99.5,99.5
"Loudoun County Public Schools","Black","Rock Ridge High",98.1,98.1
"Loudoun County Public Schools","Economically Disadvantaged","Rock Ridge High",98.6,98.6
"Loudoun County Public Schools","English Learners","Rock Ridge High",97.4,97.4
"Loudoun County Public Schools","Female","Rock Ridge High",99.3,99.6
"Loudoun County Public Schools","Hispanic","Rock Ridge High",98.1,98.1
"Loudoun County Public Schools","Male","Rock Ridge High",98.8,98.8
"Loudoun County Public Schools","Multiple Races","Rock Ridge High",100,100
"Loudoun County Public Schools","Students with Disabilities","Rock Ridge High",97.9,97.9
"Loudoun County Public Schools","White","Rock Ridge High",99,99.5
"Loudoun County Public Schools","All Students","Stone Bridge High",98.1,99.8
"Loudoun County Public Schools","Asian","Stone Bridge High",100,100
"Loudoun County Public Schools","Black","Stone Bridge High",96.7,96.7
"Loudoun County Public Schools","Economically Disadvantaged","Stone Bridge High",97.7,100
"Loudoun County Public Schools","English Learners","Stone Bridge High",100,100
"Loudoun County Public Schools","Female","Stone Bridge High",99,100
"Loudoun County Public Schools","Hispanic","Stone Bridge High",95.8,100
"Loudoun County Public Schools","Male","Stone Bridge High",97.4,99.6
"Loudoun County Public Schools","Multiple Races","Stone Bridge High",92,100
"Loudoun County Public Schools","Students with Disabilities","Stone Bridge High",95.1,100
"Loudoun County Public Schools","White","Stone Bridge High",98.8,100
"Loudoun County Public Schools","All Students","Tuscarora High",91.5,92.3
"Loudoun County Public Schools","Asian","Tuscarora High",100,100
"Loudoun County Public Schools","Black","Tuscarora High",97.1,97.1
"Loudoun County Public Schools","Economically Disadvantaged","Tuscarora High",76.8,76.8
"Loudoun County Public Schools","English Learners","Tuscarora High",57.9,57.9
"Loudoun County Public Schools","Female","Tuscarora High",93.5,93.5
"Loudoun County Public Schools","Hispanic","Tuscarora High",73.6,74.5
"Loudoun County Public Schools","Homeless","Tuscarora High",38.9,38.9
"Loudoun County Public Schools","Male","Tuscarora High",89.7,91.2
"Loudoun County Public Schools","Multiple Races","Tuscarora High",100,100
"Loudoun County Public Schools","Students with Disabilities","Tuscarora High",92.7,92.7
"Loudoun County Public Schools","White","Tuscarora High",98,99
"Loudoun County Public Schools","All Students","Woodgrove High",98.9,99.3
"Loudoun County Public Schools","Asian","Woodgrove High",100,100
"Loudoun County Public Schools","Black","Woodgrove High",100,100
"Loudoun County Public Schools","Economically Disadvantaged","Woodgrove High",94.3,97.1
"Loudoun County Public Schools","Female","Woodgrove High",99.1,99.1
"Loudoun County Public Schools","Hispanic","Woodgrove High",100,100
"Loudoun County Public Schools","Male","Woodgrove High",98.7,99.6
"Loudoun County Public Schools","Multiple Races","Woodgrove High",100,100
"Loudoun County Public Schools","Students with Disabilities","Woodgrove High",96.7,98.3
"Loudoun County Public Schools","White","Woodgrove High",98.6,99.1
"Louisa County Public Schools","All Students","Louisa County High",93.7,95.9
"Louisa County Public Schools","Black","Louisa County High",93.3,93.3
"Louisa County Public Schools","Economically Disadvantaged","Louisa County High",89.9,93
"Louisa County Public Schools","Female","Louisa County High",92,94.9
"Louisa County Public Schools","Hispanic","Louisa County High",94.7,94.7
"Louisa County Public Schools","Male","Louisa County High",95.3,96.9
"Louisa County Public Schools","Multiple Races","Louisa County High",92,96
"Louisa County Public Schools","Students with Disabilities","Louisa County High",91.3,92.8
"Louisa County Public Schools","White","Louisa County High",93.8,96.5
"Lunenburg County Public Schools","All Students","Central High",86.4,90.3
"Lunenburg County Public Schools","Black","Central High",91.1,93.3
"Lunenburg County Public Schools","Economically Disadvantaged","Central High",88.2,92.2
"Lunenburg County Public Schools","Female","Central High",88.9,91.1
"Lunenburg County Public Schools","Male","Central High",84.5,89.7
"Lunenburg County Public Schools","Students with Disabilities","Central High",78.9,78.9
"Lunenburg County Public Schools","White","Central High",87,90.7
"Lynchburg City Public Schools","All Students","E.C. Glass High ",84.3,86
"Lynchburg City Public Schools","Black","E.C. Glass High ",82.6,84.5
"Lynchburg City Public Schools","Economically Disadvantaged","E.C. Glass High ",82.2,83.2
"Lynchburg City Public Schools","Female","E.C. Glass High ",89.9,90.5
"Lynchburg City Public Schools","Hispanic","E.C. Glass High ",58.3,58.3
"Lynchburg City Public Schools","Male","E.C. Glass High ",79.3,81.9
"Lynchburg City Public Schools","Multiple Races","E.C. Glass High ",72.7,77.3
"Lynchburg City Public Schools","Students with Disabilities","E.C. Glass High ",60.5,65.1
"Lynchburg City Public Schools","White","E.C. Glass High ",91.8,93.2
"Lynchburg City Public Schools","All Students","Heritage High",85.9,87.8
"Lynchburg City Public Schools","Black","Heritage High",85.9,87.5
"Lynchburg City Public Schools","Economically Disadvantaged","Heritage High",83.8,85.6
"Lynchburg City Public Schools","English Learners","Heritage High",72.7,72.7
"Lynchburg City Public Schools","Female","Heritage High",87,89.3
"Lynchburg City Public Schools","Hispanic","Heritage High",65.2,65.2
"Lynchburg City Public Schools","Male","Heritage High",84.8,86.4
"Lynchburg City Public Schools","Multiple Races","Heritage High",95,100
"Lynchburg City Public Schools","Students with Disabilities","Heritage High",93.5,93.5
"Lynchburg City Public Schools","White","Heritage High",87.8,90.2
"Madison County Public Schools","All Students","Madison County High",94.7,97.4
"Madison County Public Schools","Black","Madison County High",81.3,81.3
"Madison County Public Schools","Economically Disadvantaged","Madison County High",96.4,98.2
"Madison County Public Schools","Female","Madison County High",95.6,98.5
"Madison County Public Schools","Male","Madison County High",94,96.4
"Madison County Public Schools","White","Madison County High",96.7,99.2
"Manassas City Public Schools","All Students","Osbourn High",77.6,79.5
"Manassas City Public Schools","Asian","Osbourn High",100,100
"Manassas City Public Schools","Black","Osbourn High",83.3,83.3
"Manassas City Public Schools","Economically Disadvantaged","Osbourn High",76,78.7
"Manassas City Public Schools","English Learners","Osbourn High",59.8,59.8
"Manassas City Public Schools","Female","Osbourn High",83.6,84
"Manassas City Public Schools","Hispanic","Osbourn High",72.9,75
"Manassas City Public Schools","Male","Osbourn High",72.6,75.8
"Manassas City Public Schools","Multiple Races","Osbourn High",86.4,86.4
"Manassas City Public Schools","Students with Disabilities","Osbourn High",73,73
"Manassas City Public Schools","White","Osbourn High",88.9,92.2
"Manassas Park City Public Schools","All Students","Manassas Park High",84.8,85.8
"Manassas Park City Public Schools","Asian","Manassas Park High",100,100
"Manassas Park City Public Schools","Black","Manassas Park High",96.8,96.8
"Manassas Park City Public Schools","Economically Disadvantaged","Manassas Park High",85.8,86.9
"Manassas Park City Public Schools","English Learners","Manassas Park High",68.1,69.7
"Manassas Park City Public Schools","Female","Manassas Park High",89.1,89.9
"Manassas Park City Public Schools","Hispanic","Manassas Park High",79.3,80.8
"Manassas Park City Public Schools","Male","Manassas Park High",81.4,82.6
"Manassas Park City Public Schools","Multiple Races","Manassas Park High",83.3,83.3
"Manassas Park City Public Schools","Students with Disabilities","Manassas Park High",92.3,92.3
"Manassas Park City Public Schools","White","Manassas Park High",94,94
"Martinsville City Public Schools","All Students","Martinsville High",94.6,95.4
"Martinsville City Public Schools","Black","Martinsville High",96.3,96.3
"Martinsville City Public Schools","Economically Disadvantaged","Martinsville High",96.3,96.3
"Martinsville City Public Schools","Female","Martinsville High",97,97
"Martinsville City Public Schools","Hispanic","Martinsville High",93.8,93.8
"Martinsville City Public Schools","Male","Martinsville High",92.1,93.7
"Martinsville City Public Schools","Students with Disabilities","Martinsville High",100,100
"Martinsville City Public Schools","White","Martinsville High",88.5,92.3
"Mathews County Public Schools","All Students","Mathews High",94.5,95.5
"Mathews County Public Schools","Black","Mathews High",100,100
"Mathews County Public Schools","Economically Disadvantaged","Mathews High",87.2,89.4
"Mathews County Public Schools","Female","Mathews High",95.7,95.7
"Mathews County Public Schools","Male","Mathews High",93.7,95.2
"Mathews County Public Schools","Students with Disabilities","Mathews High",92.9,92.9
"Mathews County Public Schools","White","Mathews High",94.5,95.6
"Mecklenburg County Public Schools","All Students","Bluestone  High",94.5,94.5
"Mecklenburg County Public Schools","Black","Bluestone  High",96.1,96.1
"Mecklenburg County Public Schools","Economically Disadvantaged","Bluestone  High",94.9,94.9
"Mecklenburg County Public Schools","Female","Bluestone  High",96.2,96.2
"Mecklenburg County Public Schools","Male","Bluestone  High",92.6,92.6
"Mecklenburg County Public Schools","Students with Disabilities","Bluestone  High",100,100
"Mecklenburg County Public Schools","White","Bluestone  High",91.5,91.5
"Mecklenburg County Public Schools","All Students","Park View High",89.5,89.5
"Mecklenburg County Public Schools","Black","Park View High",90.8,90.8
"Mecklenburg County Public Schools","Economically Disadvantaged","Park View High",91.3,91.3
"Mecklenburg County Public Schools","Female","Park View High",91.5,91.5
"Mecklenburg County Public Schools","Male","Park View High",87.6,87.6
"Mecklenburg County Public Schools","Students with Disabilities","Park View High",83.3,83.3
"Mecklenburg County Public Schools","White","Park View High",86.8,86.8
"Middlesex County Public Schools","All Students","Middlesex High",92.5,92.5
"Middlesex County Public Schools","Black","Middlesex High",92.9,92.9
"Middlesex County Public Schools","Economically Disadvantaged","Middlesex High",86.8,86.8
"Middlesex County Public Schools","Female","Middlesex High",95.2,95.2
"Middlesex County Public Schools","Male","Middlesex High",90.2,90.2
"Middlesex County Public Schools","Students with Disabilities","Middlesex High",92.9,92.9
"Middlesex County Public Schools","White","Middlesex High",93,93
"Montgomery County Public Schools","All Students","Auburn High",96.7,96.7
"Montgomery County Public Schools","Economically Disadvantaged","Auburn High",91.2,91.2
"Montgomery County Public Schools","Female","Auburn High",97.9,97.9
"Montgomery County Public Schools","Male","Auburn High",95.2,95.2
"Montgomery County Public Schools","White","Auburn High",98.8,98.8
"Montgomery County Public Schools","All Students","Blacksburg High",95.7,96.3
"Montgomery County Public Schools","Asian","Blacksburg High",100,100
"Montgomery County Public Schools","Black","Blacksburg High",92.3,100
"Montgomery County Public Schools","Economically Disadvantaged","Blacksburg High",84.1,87.3
"Montgomery County Public Schools","Female","Blacksburg High",97.2,97.9
"Montgomery County Public Schools","Hispanic","Blacksburg High",75,75
"Montgomery County Public Schools","Male","Blacksburg High",94.3,94.9
"Montgomery County Public Schools","Multiple Races","Blacksburg High",100,100
"Montgomery County Public Schools","Students with Disabilities","Blacksburg High",92.9,92.9
"Montgomery County Public Schools","White","Blacksburg High",96.5,96.9
"Montgomery County Public Schools","All Students","Christiansburg High",92.9,93.8
"Montgomery County Public Schools","Black","Christiansburg High",86.7,86.7
"Montgomery County Public Schools","Economically Disadvantaged","Christiansburg High",86,88.4
"Montgomery County Public Schools","English Learners","Christiansburg High",86.7,86.7
"Montgomery County Public Schools","Female","Christiansburg High",94.5,95.6
"Montgomery County Public Schools","Hispanic","Christiansburg High",88.9,88.9
"Montgomery County Public Schools","Male","Christiansburg High",91.8,92.5
"Montgomery County Public Schools","Students with Disabilities","Christiansburg High",91.3,95.7
"Montgomery County Public Schools","White","Christiansburg High",94.5,95.6
"Montgomery County Public Schools","All Students","Eastern Montgomery High",90,94.3
"Montgomery County Public Schools","Economically Disadvantaged","Eastern Montgomery High",86.7,93.3
"Montgomery County Public Schools","Female","Eastern Montgomery High",92.1,94.7
"Montgomery County Public Schools","Male","Eastern Montgomery High",87.5,93.8
"Montgomery County Public Schools","White","Eastern Montgomery High",91.4,96.6
"Nelson County Public Schools","All Students","Nelson County High",88.4,95.2
"Nelson County Public Schools","Black","Nelson County High",90,90
"Nelson County Public Schools","Economically Disadvantaged","Nelson County High",86.6,93.9
"Nelson County Public Schools","Female","Nelson County High",94.7,100
"Nelson County Public Schools","Hispanic","Nelson County High",80,90
"Nelson County Public Schools","Male","Nelson County High",84.3,92.1
"Nelson County Public Schools","Students with Disabilities","Nelson County High",76.2,90.5
"Nelson County Public Schools","White","Nelson County High",89.9,98.2
"New Kent County Public Schools","All Students","New Kent High ",93.1,95.7
"New Kent County Public Schools","Black","New Kent High ",96.7,100
"New Kent County Public Schools","Economically Disadvantaged","New Kent High ",82.1,89.3
"New Kent County Public Schools","Female","New Kent High ",95.7,96.6
"New Kent County Public Schools","Male","New Kent High ",90.5,94.8
"New Kent County Public Schools","Multiple Races","New Kent High ",90,100
"New Kent County Public Schools","Students with Disabilities","New Kent High ",89.3,96.4
"New Kent County Public Schools","White","New Kent High ",92.6,94.9
"Newport News City Public Schools","All Students","Achievable Dream Middle/High ",100,100
"Newport News City Public Schools","Black","Achievable Dream Middle/High ",100,100
"Newport News City Public Schools","Economically Disadvantaged","Achievable Dream Middle/High ",100,100
"Newport News City Public Schools","Female","Achievable Dream Middle/High ",100,100
"Newport News City Public Schools","Male","Achievable Dream Middle/High ",100,100
"Newport News City Public Schools","All Students","Denbigh High",90.7,94.3
"Newport News City Public Schools","Asian","Denbigh High",100,100
"Newport News City Public Schools","Black","Denbigh High",93.5,97.6
"Newport News City Public Schools","Economically Disadvantaged","Denbigh High",94.4,97
"Newport News City Public Schools","English Learners","Denbigh High",81.4,81.4
"Newport News City Public Schools","Female","Denbigh High",93.3,95.7
"Newport News City Public Schools","Hispanic","Denbigh High",82.6,84.8
"Newport News City Public Schools","Male","Denbigh High",88.4,93.2
"Newport News City Public Schools","Military Connected","Denbigh High",91.3,95.7
"Newport News City Public Schools","Students with Disabilities","Denbigh High",93.8,93.8
"Newport News City Public Schools","White","Denbigh High",92.9,97.1
"Newport News City Public Schools","All Students","Heritage High",92.8,97.3
"Newport News City Public Schools","Black","Heritage High",93.9,98
"Newport News City Public Schools","Economically Disadvantaged","Heritage High",94.4,97.4
"Newport News City Public Schools","Female","Heritage High",93.5,97.1
"Newport News City Public Schools","Hispanic","Heritage High",100,100
"Newport News City Public Schools","Male","Heritage High",92.2,97.4
"Newport News City Public Schools","Military Connected","Heritage High",90,90
"Newport News City Public Schools","Students with Disabilities","Heritage High",98,98
"Newport News City Public Schools","White","Heritage High",83.3,91.7
"Newport News City Public Schools","All Students","Menchville High",97.1,99.5
"Newport News City Public Schools","Black","Menchville High",97,99.2
"Newport News City Public Schools","Economically Disadvantaged","Menchville High",98.5,99.3
"Newport News City Public Schools","Female","Menchville High",98.3,99.4
"Newport News City Public Schools","Hispanic","Menchville High",97.2,100
"Newport News City Public Schools","Male","Menchville High",96.1,99.5
"Newport News City Public Schools","Military Connected","Menchville High",100,100
"Newport News City Public Schools","Multiple Races","Menchville High",100,100
"Newport News City Public Schools","Students with Disabilities","Menchville High",96.4,98.2
"Newport News City Public Schools","White","Menchville High",96.9,99.5
"Newport News City Public Schools","All Students","Warwick High",93.9,94.8
"Newport News City Public Schools","Asian","Warwick High",92.9,92.9
"Newport News City Public Schools","Black","Warwick High",93.2,93.8
"Newport News City Public Schools","Economically Disadvantaged","Warwick High",94.5,95.7
"Newport News City Public Schools","Female","Warwick High",94.4,94.8
"Newport News City Public Schools","Hispanic","Warwick High",90.5,92.9
"Newport News City Public Schools","Male","Warwick High",93.3,94.7
"Newport News City Public Schools","Military Connected","Warwick High",100,100
"Newport News City Public Schools","Multiple Races","Warwick High",85.7,85.7
"Newport News City Public Schools","Students with Disabilities","Warwick High",87,89.1
"Newport News City Public Schools","White","Warwick High",98,99
"Newport News City Public Schools","All Students","Woodside High",96.6,98.3
"Newport News City Public Schools","Asian","Woodside High",100,100
"Newport News City Public Schools","Black","Woodside High",95.8,97.5
"Newport News City Public Schools","Economically Disadvantaged","Woodside High",98.1,98.1
"Newport News City Public Schools","Female","Woodside High",98.6,99.1
"Newport News City Public Schools","Hispanic","Woodside High",94.6,98.2
"Newport News City Public Schools","Male","Woodside High",94.1,97.3
"Newport News City Public Schools","Military Connected","Woodside High",96.3,100
"Newport News City Public Schools","Multiple Races","Woodside High",100,100
"Newport News City Public Schools","Students with Disabilities","Woodside High",94.1,97.1
"Newport News City Public Schools","White","Woodside High",98.7,100
"Norfolk City Public Schools","All Students","Booker T Washington High",88.4,90.8
"Norfolk City Public Schools","Black","Booker T Washington High",86,88.4
"Norfolk City Public Schools","Economically Disadvantaged","Booker T Washington High",93,95.8
"Norfolk City Public Schools","Female","Booker T Washington High",87,89.8
"Norfolk City Public Schools","Hispanic","Booker T Washington High",92.3,100
"Norfolk City Public Schools","Male","Booker T Washington High",89.9,91.9
"Norfolk City Public Schools","Multiple Races","Booker T Washington High",100,100
"Norfolk City Public Schools","Students with Disabilities","Booker T Washington High",91.2,94.1
"Norfolk City Public Schools","White","Booker T Washington High",100,100
"Norfolk City Public Schools","All Students","Granby High",84,85.9
"Norfolk City Public Schools","Asian","Granby High",100,100
"Norfolk City Public Schools","Black","Granby High",82.2,84.6
"Norfolk City Public Schools","Economically Disadvantaged","Granby High",86.4,88.1
"Norfolk City Public Schools","English Learners","Granby High",36.7,36.7
"Norfolk City Public Schools","Female","Granby High",85.9,86.7
"Norfolk City Public Schools","Hispanic","Granby High",65.1,65.1
"Norfolk City Public Schools","Homeless","Granby High",75,75
"Norfolk City Public Schools","Male","Granby High",82.2,85.2
"Norfolk City Public Schools","Military Connected","Granby High",98.6,98.6
"Norfolk City Public Schools","Multiple Races","Granby High",86.1,88.9
"Norfolk City Public Schools","Students with Disabilities","Granby High",79.4,80.9
"Norfolk City Public Schools","White","Granby High",92.6,94.6
"Norfolk City Public Schools","All Students","Lake Taylor High ",84.8,87.4
"Norfolk City Public Schools","Asian","Lake Taylor High ",100,100
"Norfolk City Public Schools","Black","Lake Taylor High ",86.2,88.3
"Norfolk City Public Schools","Economically Disadvantaged","Lake Taylor High ",85.9,87.6
"Norfolk City Public Schools","English Learners","Lake Taylor High ",57.1,57.1
"Norfolk City Public Schools","Female","Lake Taylor High ",87,89.4
"Norfolk City Public Schools","Hispanic","Lake Taylor High ",68.4,68.4
"Norfolk City Public Schools","Male","Lake Taylor High ",82.9,85.6
"Norfolk City Public Schools","Military Connected","Lake Taylor High ",95.8,95.8
"Norfolk City Public Schools","Multiple Races","Lake Taylor High ",75,87.5
"Norfolk City Public Schools","Students with Disabilities","Lake Taylor High ",92.2,92.2
"Norfolk City Public Schools","White","Lake Taylor High ",83.9,87.1
"Norfolk City Public Schools","All Students","Matthew Fontaine Maury High",92.4,95.1
"Norfolk City Public Schools","Asian","Matthew Fontaine Maury High",93.3,100
