"Division","School","Subgroup","Percent.Below.10","Percent.above.10"
"Mathews County Public Schools","Thomas Hunter Middle","Students with Disabilities",87.3,12.7
"Mathews County Public Schools","Thomas Hunter Middle","White",89,11
"Mecklenburg County Public Schools","Bluestone  High","All Students",66,34
"Mecklenburg County Public Schools","Bluestone  High","Asian",100,0
"Mecklenburg County Public Schools","Bluestone  High","Black",61.7,38.3
"Mecklenburg County Public Schools","Bluestone  High","Economically Disadvantaged",57.1,42.9
"Mecklenburg County Public Schools","Bluestone  High","English Learners",100,0
"Mecklenburg County Public Schools","Bluestone  High","Female",64.3,35.7
"Mecklenburg County Public Schools","Bluestone  High","Hispanic",71.4,28.6
"Mecklenburg County Public Schools","Bluestone  High","Homeless",NA,NA
"Mecklenburg County Public Schools","Bluestone  High","Male",67.7,32.3
"Mecklenburg County Public Schools","Bluestone  High","Multiple Races",50,50
"Mecklenburg County Public Schools","Bluestone  High","Students with Disabilities",65.4,34.6
"Mecklenburg County Public Schools","Bluestone  High","White",71.4,28.6
"Mecklenburg County Public Schools","Bluestone Middle","All Students",86,14
"Mecklenburg County Public Schools","Bluestone Middle","Asian",100,0
"Mecklenburg County Public Schools","Bluestone Middle","Black",86,14
"Mecklenburg County Public Schools","Bluestone Middle","Economically Disadvantaged",81.4,18.6
"Mecklenburg County Public Schools","Bluestone Middle","English Learners",100,0
"Mecklenburg County Public Schools","Bluestone Middle","Female",84.5,15.5
"Mecklenburg County Public Schools","Bluestone Middle","Hispanic",100,0
"Mecklenburg County Public Schools","Bluestone Middle","Male",87.4,12.6
"Mecklenburg County Public Schools","Bluestone Middle","Multiple Races",75,25
"Mecklenburg County Public Schools","Bluestone Middle","Students with Disabilities",74.4,25.6
"Mecklenburg County Public Schools","Bluestone Middle","White",85.5,14.5
"Mecklenburg County Public Schools","Chase City Elementary","All Students",89.9,10.1
"Mecklenburg County Public Schools","Chase City Elementary","Asian",100,0
"Mecklenburg County Public Schools","Chase City Elementary","Black",89.1,10.9
"Mecklenburg County Public Schools","Chase City Elementary","Economically Disadvantaged",88.1,11.9
"Mecklenburg County Public Schools","Chase City Elementary","English Learners",100,0
"Mecklenburg County Public Schools","Chase City Elementary","Female",89.1,10.9
"Mecklenburg County Public Schools","Chase City Elementary","Hispanic",90,10
"Mecklenburg County Public Schools","Chase City Elementary","Homeless",NA,NA
"Mecklenburg County Public Schools","Chase City Elementary","Male",90.6,9.4
"Mecklenburg County Public Schools","Chase City Elementary","Multiple Races",90.9,9.1
"Mecklenburg County Public Schools","Chase City Elementary","Students with Disabilities",90.2,9.8
"Mecklenburg County Public Schools","Chase City Elementary","White",90.9,9.1
"Mecklenburg County Public Schools","Clarksville Elementary","All Students",90.1,9.9
"Mecklenburg County Public Schools","Clarksville Elementary","American Indian",NA,NA
"Mecklenburg County Public Schools","Clarksville Elementary","Asian",100,0
"Mecklenburg County Public Schools","Clarksville Elementary","Black",91.4,8.6
"Mecklenburg County Public Schools","Clarksville Elementary","Economically Disadvantaged",87.5,12.5
"Mecklenburg County Public Schools","Clarksville Elementary","English Learners",100,0
"Mecklenburg County Public Schools","Clarksville Elementary","Female",91.4,8.6
"Mecklenburg County Public Schools","Clarksville Elementary","Hispanic",81.8,18.2
"Mecklenburg County Public Schools","Clarksville Elementary","Homeless",NA,NA
"Mecklenburg County Public Schools","Clarksville Elementary","Male",88.7,11.3
"Mecklenburg County Public Schools","Clarksville Elementary","Multiple Races",81.5,18.5
"Mecklenburg County Public Schools","Clarksville Elementary","Students with Disabilities",88.2,11.8
"Mecklenburg County Public Schools","Clarksville Elementary","White",90.4,9.6
"Mecklenburg County Public Schools","LaCrosse Elementary ","All Students",88.3,11.7
"Mecklenburg County Public Schools","LaCrosse Elementary ","Black",92.4,7.6
"Mecklenburg County Public Schools","LaCrosse Elementary ","Economically Disadvantaged",86.3,13.7
"Mecklenburg County Public Schools","LaCrosse Elementary ","English Learners",92.6,7.4
"Mecklenburg County Public Schools","LaCrosse Elementary ","Female",90,10
"Mecklenburg County Public Schools","LaCrosse Elementary ","Hispanic",94.3,5.7
"Mecklenburg County Public Schools","LaCrosse Elementary ","Male",86.8,13.2
"Mecklenburg County Public Schools","LaCrosse Elementary ","Multiple Races",90,10
"Mecklenburg County Public Schools","LaCrosse Elementary ","Students with Disabilities",85.5,14.5
"Mecklenburg County Public Schools","LaCrosse Elementary ","White",85.2,14.8
"Mecklenburg County Public Schools","Park View High","All Students",80,20
"Mecklenburg County Public Schools","Park View High","American Indian",NA,NA
"Mecklenburg County Public Schools","Park View High","Asian",100,0
"Mecklenburg County Public Schools","Park View High","Black",80.8,19.2
"Mecklenburg County Public Schools","Park View High","Economically Disadvantaged",76,24
"Mecklenburg County Public Schools","Park View High","English Learners",83.3,16.7
"Mecklenburg County Public Schools","Park View High","Female",78.7,21.3
"Mecklenburg County Public Schools","Park View High","Hispanic",90.5,9.5
"Mecklenburg County Public Schools","Park View High","Homeless",NA,NA
"Mecklenburg County Public Schools","Park View High","Male",81.2,18.8
"Mecklenburg County Public Schools","Park View High","Multiple Races",72.7,27.3
"Mecklenburg County Public Schools","Park View High","Students with Disabilities",77.4,22.6
"Mecklenburg County Public Schools","Park View High","White",78.3,21.7
"Mecklenburg County Public Schools","Park View Middle","All Students",90.1,9.9
"Mecklenburg County Public Schools","Park View Middle","Asian",100,0
"Mecklenburg County Public Schools","Park View Middle","Black",89.1,10.9
"Mecklenburg County Public Schools","Park View Middle","Economically Disadvantaged",87.4,12.6
"Mecklenburg County Public Schools","Park View Middle","English Learners",100,0
"Mecklenburg County Public Schools","Park View Middle","Female",92.3,7.7
"Mecklenburg County Public Schools","Park View Middle","Hispanic",100,0
"Mecklenburg County Public Schools","Park View Middle","Male",88.3,11.7
"Mecklenburg County Public Schools","Park View Middle","Multiple Races",87.5,12.5
"Mecklenburg County Public Schools","Park View Middle","Native Hawaiian",NA,NA
"Mecklenburg County Public Schools","Park View Middle","Students with Disabilities",83.1,16.9
"Mecklenburg County Public Schools","Park View Middle","White",89.9,10.1
"Mecklenburg County Public Schools","South Hill Elementary","All Students",88,12
"Mecklenburg County Public Schools","South Hill Elementary","Asian",85.7,14.3
"Mecklenburg County Public Schools","South Hill Elementary","Black",90.4,9.6
"Mecklenburg County Public Schools","South Hill Elementary","Economically Disadvantaged",86.4,13.6
"Mecklenburg County Public Schools","South Hill Elementary","English Learners",100,0
"Mecklenburg County Public Schools","South Hill Elementary","Female",87.8,12.2
"Mecklenburg County Public Schools","South Hill Elementary","Hispanic",92.3,7.7
"Mecklenburg County Public Schools","South Hill Elementary","Homeless",NA,NA
"Mecklenburg County Public Schools","South Hill Elementary","Male",88.2,11.8
"Mecklenburg County Public Schools","South Hill Elementary","Multiple Races",78.4,21.6
"Mecklenburg County Public Schools","South Hill Elementary","Students with Disabilities",80.6,19.4
"Mecklenburg County Public Schools","South Hill Elementary","White",86.6,13.4
"Middlesex County Public Schools","Middlesex Elementary","All Students",92.3,7.7
"Middlesex County Public Schools","Middlesex Elementary","Asian",100,0
"Middlesex County Public Schools","Middlesex Elementary","Black",90.4,9.6
"Middlesex County Public Schools","Middlesex Elementary","Economically Disadvantaged",89.2,10.8
"Middlesex County Public Schools","Middlesex Elementary","English Learners",86.7,13.3
"Middlesex County Public Schools","Middlesex Elementary","Female",91.9,8.1
"Middlesex County Public Schools","Middlesex Elementary","Hispanic",77.8,22.2
"Middlesex County Public Schools","Middlesex Elementary","Homeless",NA,NA
"Middlesex County Public Schools","Middlesex Elementary","Male",92.7,7.3
"Middlesex County Public Schools","Middlesex Elementary","Multiple Races",86.4,13.6
"Middlesex County Public Schools","Middlesex Elementary","Students with Disabilities",90.4,9.6
"Middlesex County Public Schools","Middlesex Elementary","White",94.6,5.4
"Middlesex County Public Schools","Middlesex High","All Students",85,15
"Middlesex County Public Schools","Middlesex High","American Indian",NA,NA
"Middlesex County Public Schools","Middlesex High","Black",81.4,18.6
"Middlesex County Public Schools","Middlesex High","Economically Disadvantaged",76.8,23.2
"Middlesex County Public Schools","Middlesex High","Female",86.5,13.5
"Middlesex County Public Schools","Middlesex High","Hispanic",71.4,28.6
"Middlesex County Public Schools","Middlesex High","Homeless",NA,NA
"Middlesex County Public Schools","Middlesex High","Male",83.8,16.2
"Middlesex County Public Schools","Middlesex High","Multiple Races",85,15
"Middlesex County Public Schools","Middlesex High","Students with Disabilities",71.9,28.1
"Middlesex County Public Schools","Middlesex High","White",86.4,13.6
"Middlesex County Public Schools","St. Clare Walker Middle","All Students",86,14
"Middlesex County Public Schools","St. Clare Walker Middle","American Indian",NA,NA
"Middlesex County Public Schools","St. Clare Walker Middle","Black",88.6,11.4
"Middlesex County Public Schools","St. Clare Walker Middle","Economically Disadvantaged",81.3,18.7
"Middlesex County Public Schools","St. Clare Walker Middle","English Learners",100,0
"Middlesex County Public Schools","St. Clare Walker Middle","Female",84.6,15.4
"Middlesex County Public Schools","St. Clare Walker Middle","Hispanic",91.7,8.3
"Middlesex County Public Schools","St. Clare Walker Middle","Homeless",NA,NA
"Middlesex County Public Schools","St. Clare Walker Middle","Male",87.2,12.8
"Middlesex County Public Schools","St. Clare Walker Middle","Multiple Races",84.6,15.4
"Middlesex County Public Schools","St. Clare Walker Middle","Students with Disabilities",90.2,9.8
"Middlesex County Public Schools","St. Clare Walker Middle","White",85.6,14.4
"Montgomery County Public Schools","Auburn Elementary","All Students",93.9,6.1
"Montgomery County Public Schools","Auburn Elementary","Asian",100,0
"Montgomery County Public Schools","Auburn Elementary","Black",85.7,14.3
"Montgomery County Public Schools","Auburn Elementary","Economically Disadvantaged",90.7,9.3
"Montgomery County Public Schools","Auburn Elementary","English Learners",100,0
"Montgomery County Public Schools","Auburn Elementary","Female",93.4,6.6
"Montgomery County Public Schools","Auburn Elementary","Hispanic",93.3,6.7
"Montgomery County Public Schools","Auburn Elementary","Homeless",NA,NA
"Montgomery County Public Schools","Auburn Elementary","Male",94.2,5.8
"Montgomery County Public Schools","Auburn Elementary","Multiple Races",100,0
"Montgomery County Public Schools","Auburn Elementary","Students with Disabilities",92.5,7.5
"Montgomery County Public Schools","Auburn Elementary","White",93.8,6.2
"Montgomery County Public Schools","Auburn High","All Students",86.8,13.2
"Montgomery County Public Schools","Auburn High","American Indian",NA,NA
"Montgomery County Public Schools","Auburn High","Black",83.3,16.7
"Montgomery County Public Schools","Auburn High","Economically Disadvantaged",75.9,24.1
"Montgomery County Public Schools","Auburn High","English Learners",100,0
"Montgomery County Public Schools","Auburn High","Female",85.8,14.2
"Montgomery County Public Schools","Auburn High","Hispanic",91.7,8.3
"Montgomery County Public Schools","Auburn High","Homeless",NA,NA
"Montgomery County Public Schools","Auburn High","Male",87.7,12.3
"Montgomery County Public Schools","Auburn High","Multiple Races",50,50
"Montgomery County Public Schools","Auburn High","Students with Disabilities",81.8,18.2
"Montgomery County Public Schools","Auburn High","White",87.2,12.8
"Montgomery County Public Schools","Auburn Middle","All Students",88.8,11.2
"Montgomery County Public Schools","Auburn Middle","Black",100,0
"Montgomery County Public Schools","Auburn Middle","Economically Disadvantaged",81.1,18.9
"Montgomery County Public Schools","Auburn Middle","English Learners",100,0
"Montgomery County Public Schools","Auburn Middle","Female",89.9,10.1
"Montgomery County Public Schools","Auburn Middle","Hispanic",88.9,11.1
"Montgomery County Public Schools","Auburn Middle","Homeless",NA,NA
"Montgomery County Public Schools","Auburn Middle","Male",87.8,12.2
"Montgomery County Public Schools","Auburn Middle","Multiple Races",83.3,16.7
"Montgomery County Public Schools","Auburn Middle","Students with Disabilities",88.6,11.4
"Montgomery County Public Schools","Auburn Middle","White",88.9,11.1
"Montgomery County Public Schools","Belview Elementary","All Students",91.9,8.1
"Montgomery County Public Schools","Belview Elementary","Asian",66.7,33.3
"Montgomery County Public Schools","Belview Elementary","Black",100,0
"Montgomery County Public Schools","Belview Elementary","Economically Disadvantaged",91,9
"Montgomery County Public Schools","Belview Elementary","English Learners",100,0
"Montgomery County Public Schools","Belview Elementary","Female",92,8
"Montgomery County Public Schools","Belview Elementary","Hispanic",84.2,15.8
"Montgomery County Public Schools","Belview Elementary","Homeless",NA,NA
"Montgomery County Public Schools","Belview Elementary","Male",91.9,8.1
"Montgomery County Public Schools","Belview Elementary","Multiple Races",100,0
"Montgomery County Public Schools","Belview Elementary","Students with Disabilities",88.9,11.1
"Montgomery County Public Schools","Belview Elementary","White",92.6,7.4
"Montgomery County Public Schools","Blacksburg High","All Students",87.8,12.2
"Montgomery County Public Schools","Blacksburg High","American Indian",NA,NA
"Montgomery County Public Schools","Blacksburg High","Asian",93.3,6.7
"Montgomery County Public Schools","Blacksburg High","Black",66.7,33.3
"Montgomery County Public Schools","Blacksburg High","Economically Disadvantaged",67,33
"Montgomery County Public Schools","Blacksburg High","English Learners",93.8,6.2
"Montgomery County Public Schools","Blacksburg High","Female",87,13
"Montgomery County Public Schools","Blacksburg High","Hispanic",82.8,17.2
"Montgomery County Public Schools","Blacksburg High","Homeless",NA,NA
"Montgomery County Public Schools","Blacksburg High","Male",88.6,11.4
"Montgomery County Public Schools","Blacksburg High","Multiple Races",89.6,10.4
"Montgomery County Public Schools","Blacksburg High","Students with Disabilities",76,24
"Montgomery County Public Schools","Blacksburg High","White",88.5,11.5
"Montgomery County Public Schools","Blacksburg Middle","All Students",91.9,8.1
"Montgomery County Public Schools","Blacksburg Middle","American Indian",NA,NA
"Montgomery County Public Schools","Blacksburg Middle","Asian",97.4,2.6
"Montgomery County Public Schools","Blacksburg Middle","Black",83.7,16.3
"Montgomery County Public Schools","Blacksburg Middle","Economically Disadvantaged",77.1,22.9
"Montgomery County Public Schools","Blacksburg Middle","English Learners",88.4,11.6
"Montgomery County Public Schools","Blacksburg Middle","Female",93.1,6.9
"Montgomery County Public Schools","Blacksburg Middle","Hispanic",92.1,7.9
"Montgomery County Public Schools","Blacksburg Middle","Homeless",NA,NA
"Montgomery County Public Schools","Blacksburg Middle","Male",90.8,9.2
"Montgomery County Public Schools","Blacksburg Middle","Multiple Races",85.5,14.5
"Montgomery County Public Schools","Blacksburg Middle","Students with Disabilities",83.7,16.3
"Montgomery County Public Schools","Blacksburg Middle","White",92.2,7.8
"Montgomery County Public Schools","Christiansburg Elementary","All Students",90.7,9.3
"Montgomery County Public Schools","Christiansburg Elementary","American Indian",NA,NA
"Montgomery County Public Schools","Christiansburg Elementary","Asian",100,0
"Montgomery County Public Schools","Christiansburg Elementary","Black",90.3,9.7
"Montgomery County Public Schools","Christiansburg Elementary","Economically Disadvantaged",82.5,17.5
"Montgomery County Public Schools","Christiansburg Elementary","English Learners",100,0
"Montgomery County Public Schools","Christiansburg Elementary","Female",90.6,9.4
"Montgomery County Public Schools","Christiansburg Elementary","Hispanic",95.5,4.5
"Montgomery County Public Schools","Christiansburg Elementary","Homeless",NA,NA
"Montgomery County Public Schools","Christiansburg Elementary","Male",90.8,9.2
"Montgomery County Public Schools","Christiansburg Elementary","Multiple Races",87.5,12.5
"Montgomery County Public Schools","Christiansburg Elementary","Students with Disabilities",77.8,22.2
"Montgomery County Public Schools","Christiansburg Elementary","White",90.5,9.5
"Montgomery County Public Schools","Christiansburg High","All Students",82.8,17.2
"Montgomery County Public Schools","Christiansburg High","American Indian",NA,NA
"Montgomery County Public Schools","Christiansburg High","Asian",100,0
"Montgomery County Public Schools","Christiansburg High","Black",77.1,22.9
"Montgomery County Public Schools","Christiansburg High","Economically Disadvantaged",69.3,30.7
"Montgomery County Public Schools","Christiansburg High","English Learners",85.2,14.8
"Montgomery County Public Schools","Christiansburg High","Female",85.3,14.7
"Montgomery County Public Schools","Christiansburg High","Hispanic",76.1,23.9
"Montgomery County Public Schools","Christiansburg High","Homeless",NA,NA
"Montgomery County Public Schools","Christiansburg High","Male",80.7,19.3
"Montgomery County Public Schools","Christiansburg High","Multiple Races",75,25
"Montgomery County Public Schools","Christiansburg High","Students with Disabilities",73.2,26.8
"Montgomery County Public Schools","Christiansburg High","White",84,16
"Montgomery County Public Schools","Christiansburg Middle","All Students",84.3,15.7
"Montgomery County Public Schools","Christiansburg Middle","American Indian",NA,NA
"Montgomery County Public Schools","Christiansburg Middle","Asian",100,0
"Montgomery County Public Schools","Christiansburg Middle","Black",81.8,18.2
"Montgomery County Public Schools","Christiansburg Middle","Economically Disadvantaged",74,26
"Montgomery County Public Schools","Christiansburg Middle","English Learners",100,0
"Montgomery County Public Schools","Christiansburg Middle","Female",87.1,12.9
"Montgomery County Public Schools","Christiansburg Middle","Hispanic",90.5,9.5
"Montgomery County Public Schools","Christiansburg Middle","Homeless",NA,NA
"Montgomery County Public Schools","Christiansburg Middle","Male",81.8,18.2
"Montgomery County Public Schools","Christiansburg Middle","Multiple Races",81.1,18.9
"Montgomery County Public Schools","Christiansburg Middle","Native Hawaiian",NA,NA
"Montgomery County Public Schools","Christiansburg Middle","Students with Disabilities",68,32
"Montgomery County Public Schools","Christiansburg Middle","White",84.2,15.8
"Montgomery County Public Schools","Christiansburg Primary","All Students",91.4,8.6
"Montgomery County Public Schools","Christiansburg Primary","American Indian",NA,NA
"Montgomery County Public Schools","Christiansburg Primary","Asian",75,25
"Montgomery County Public Schools","Christiansburg Primary","Black",92,8
"Montgomery County Public Schools","Christiansburg Primary","Economically Disadvantaged",85.9,14.1
"Montgomery County Public Schools","Christiansburg Primary","English Learners",87.5,12.5
"Montgomery County Public Schools","Christiansburg Primary","Female",92.4,7.6
"Montgomery County Public Schools","Christiansburg Primary","Hispanic",85.3,14.7
"Montgomery County Public Schools","Christiansburg Primary","Homeless",NA,NA
"Montgomery County Public Schools","Christiansburg Primary","Male",90.4,9.6
"Montgomery County Public Schools","Christiansburg Primary","Multiple Races",87.5,12.5
"Montgomery County Public Schools","Christiansburg Primary","Native Hawaiian",NA,NA
"Montgomery County Public Schools","Christiansburg Primary","Students with Disabilities",81,19
"Montgomery County Public Schools","Christiansburg Primary","White",92.8,7.2
"Montgomery County Public Schools","Eastern Montgomery Elementary","All Students",85.1,14.9
"Montgomery County Public Schools","Eastern Montgomery Elementary","Black",100,0
"Montgomery County Public Schools","Eastern Montgomery Elementary","Economically Disadvantaged",81.4,18.6
"Montgomery County Public Schools","Eastern Montgomery Elementary","English Learners",96,4
"Montgomery County Public Schools","Eastern Montgomery Elementary","Female",85.8,14.2
"Montgomery County Public Schools","Eastern Montgomery Elementary","Hispanic",94.9,5.1
"Montgomery County Public Schools","Eastern Montgomery Elementary","Homeless",NA,NA
"Montgomery County Public Schools","Eastern Montgomery Elementary","Male",84.3,15.7
"Montgomery County Public Schools","Eastern Montgomery Elementary","Multiple Races",87.5,12.5
"Montgomery County Public Schools","Eastern Montgomery Elementary","Students with Disabilities",83.9,16.1
"Montgomery County Public Schools","Eastern Montgomery Elementary","White",83.8,16.2
"Montgomery County Public Schools","Eastern Montgomery High","All Students",77.3,22.7
"Montgomery County Public Schools","Eastern Montgomery High","American Indian",NA,NA
"Montgomery County Public Schools","Eastern Montgomery High","Black",100,0
"Montgomery County Public Schools","Eastern Montgomery High","Economically Disadvantaged",71.6,28.4
"Montgomery County Public Schools","Eastern Montgomery High","English Learners",85.7,14.3
"Montgomery County Public Schools","Eastern Montgomery High","Female",73.9,26.1
"Montgomery County Public Schools","Eastern Montgomery High","Hispanic",77.8,22.2
"Montgomery County Public Schools","Eastern Montgomery High","Homeless",NA,NA
"Montgomery County Public Schools","Eastern Montgomery High","Male",80.8,19.2
"Montgomery County Public Schools","Eastern Montgomery High","Multiple Races",55.6,44.4
"Montgomery County Public Schools","Eastern Montgomery High","Students with Disabilities",58.8,41.2
"Montgomery County Public Schools","Eastern Montgomery High","White",77.9,22.1
"Montgomery County Public Schools","Falling Branch Elementary","All Students",88.3,11.7
"Montgomery County Public Schools","Falling Branch Elementary","American Indian",NA,NA
"Montgomery County Public Schools","Falling Branch Elementary","Asian",75,25
"Montgomery County Public Schools","Falling Branch Elementary","Black",75,25
"Montgomery County Public Schools","Falling Branch Elementary","Economically Disadvantaged",77.8,22.2
"Montgomery County Public Schools","Falling Branch Elementary","English Learners",73.3,26.7
"Montgomery County Public Schools","Falling Branch Elementary","Female",89.2,10.8
"Montgomery County Public Schools","Falling Branch Elementary","Hispanic",82.6,17.4
"Montgomery County Public Schools","Falling Branch Elementary","Homeless",NA,NA
"Montgomery County Public Schools","Falling Branch Elementary","Male",87.5,12.5
"Montgomery County Public Schools","Falling Branch Elementary","Multiple Races",83.9,16.1
"Montgomery County Public Schools","Falling Branch Elementary","Students with Disabilities",82.4,17.6
"Montgomery County Public Schools","Falling Branch Elementary","White",90.1,9.9
"Montgomery County Public Schools","Gilbert Linkous Elementary","All Students",92.3,7.7
"Montgomery County Public Schools","Gilbert Linkous Elementary","American Indian",NA,NA
"Montgomery County Public Schools","Gilbert Linkous Elementary","Asian",91.9,8.1
"Montgomery County Public Schools","Gilbert Linkous Elementary","Black",65,35
"Montgomery County Public Schools","Gilbert Linkous Elementary","Economically Disadvantaged",82.1,17.9
"Montgomery County Public Schools","Gilbert Linkous Elementary","English Learners",97.6,2.4
"Montgomery County Public Schools","Gilbert Linkous Elementary","Female",89.8,10.2
"Montgomery County Public Schools","Gilbert Linkous Elementary","Hispanic",90.9,9.1
"Montgomery County Public Schools","Gilbert Linkous Elementary","Homeless",NA,NA
"Montgomery County Public Schools","Gilbert Linkous Elementary","Male",94.8,5.2
"Montgomery County Public Schools","Gilbert Linkous Elementary","Multiple Races",95.2,4.8
"Montgomery County Public Schools","Gilbert Linkous Elementary","Students with Disabilities",93.5,6.5
"Montgomery County Public Schools","Gilbert Linkous Elementary","White",94.4,5.6
"Montgomery County Public Schools","Harding Avenue Elementary","All Students",96.8,3.2
"Montgomery County Public Schools","Harding Avenue Elementary","Asian",94.6,5.4
"Montgomery County Public Schools","Harding Avenue Elementary","Black",88.9,11.1
"Montgomery County Public Schools","Harding Avenue Elementary","Economically Disadvantaged",92.6,7.4
"Montgomery County Public Schools","Harding Avenue Elementary","English Learners",97,3
"Montgomery County Public Schools","Harding Avenue Elementary","Female",95.1,4.9
"Montgomery County Public Schools","Harding Avenue Elementary","Hispanic",95.2,4.8
"Montgomery County Public Schools","Harding Avenue Elementary","Homeless",NA,NA
"Montgomery County Public Schools","Harding Avenue Elementary","Male",98.3,1.7
"Montgomery County Public Schools","Harding Avenue Elementary","Multiple Races",96.8,3.2
"Montgomery County Public Schools","Harding Avenue Elementary","Students with Disabilities",96.3,3.7
"Montgomery County Public Schools","Harding Avenue Elementary","White",97.6,2.4
"Montgomery County Public Schools","Kipps Elementary","All Students",96.8,3.2
"Montgomery County Public Schools","Kipps Elementary","American Indian",NA,NA
"Montgomery County Public Schools","Kipps Elementary","Asian",94.5,5.5
"Montgomery County Public Schools","Kipps Elementary","Black",100,0
"Montgomery County Public Schools","Kipps Elementary","Economically Disadvantaged",91.9,8.1
"Montgomery County Public Schools","Kipps Elementary","English Learners",97.8,2.2
"Montgomery County Public Schools","Kipps Elementary","Female",96,4
"Montgomery County Public Schools","Kipps Elementary","Hispanic",100,0
"Montgomery County Public Schools","Kipps Elementary","Male",97.4,2.6
"Montgomery County Public Schools","Kipps Elementary","Multiple Races",100,0
"Montgomery County Public Schools","Kipps Elementary","Native Hawaiian",NA,NA
"Montgomery County Public Schools","Kipps Elementary","Students with Disabilities",90.5,9.5
"Montgomery County Public Schools","Kipps Elementary","White",96.6,3.4
"Montgomery County Public Schools","Margaret Beeks Elementary","All Students",94.1,5.9
"Montgomery County Public Schools","Margaret Beeks Elementary","American Indian",NA,NA
"Montgomery County Public Schools","Margaret Beeks Elementary","Asian",95.8,4.2
"Montgomery County Public Schools","Margaret Beeks Elementary","Black",85.2,14.8
"Montgomery County Public Schools","Margaret Beeks Elementary","Economically Disadvantaged",88.1,11.9
"Montgomery County Public Schools","Margaret Beeks Elementary","English Learners",90.6,9.4
"Montgomery County Public Schools","Margaret Beeks Elementary","Female",93.7,6.3
"Montgomery County Public Schools","Margaret Beeks Elementary","Hispanic",94.4,5.6
"Montgomery County Public Schools","Margaret Beeks Elementary","Homeless",NA,NA
"Montgomery County Public Schools","Margaret Beeks Elementary","Male",94.6,5.4
"Montgomery County Public Schools","Margaret Beeks Elementary","Multiple Races",89.3,10.7
"Montgomery County Public Schools","Margaret Beeks Elementary","Students with Disabilities",89.8,10.2
"Montgomery County Public Schools","Margaret Beeks Elementary","White",95.2,4.8
"Montgomery County Public Schools","Prices Fork Elementary","All Students",88.6,11.4
"Montgomery County Public Schools","Prices Fork Elementary","American Indian",NA,NA
"Montgomery County Public Schools","Prices Fork Elementary","Asian",100,0
"Montgomery County Public Schools","Prices Fork Elementary","Black",87.5,12.5
"Montgomery County Public Schools","Prices Fork Elementary","Economically Disadvantaged",83.1,16.9
"Montgomery County Public Schools","Prices Fork Elementary","English Learners",89.7,10.3
"Montgomery County Public Schools","Prices Fork Elementary","Female",90.2,9.8
"Montgomery County Public Schools","Prices Fork Elementary","Hispanic",89.4,10.6
"Montgomery County Public Schools","Prices Fork Elementary","Homeless",NA,NA
"Montgomery County Public Schools","Prices Fork Elementary","Male",87.3,12.7
"Montgomery County Public Schools","Prices Fork Elementary","Multiple Races",94.4,5.6
"Montgomery County Public Schools","Prices Fork Elementary","Students with Disabilities",74.6,25.4
"Montgomery County Public Schools","Prices Fork Elementary","White",88,12
"Montgomery County Public Schools","Shawsville Middle","All Students",83.9,16.1
"Montgomery County Public Schools","Shawsville Middle","Asian",100,0
"Montgomery County Public Schools","Shawsville Middle","Black",0,100
"Montgomery County Public Schools","Shawsville Middle","Economically Disadvantaged",79.3,20.7
"Montgomery County Public Schools","Shawsville Middle","English Learners",91.7,8.3
"Montgomery County Public Schools","Shawsville Middle","Female",85.5,14.5
"Montgomery County Public Schools","Shawsville Middle","Hispanic",88.2,11.8
"Montgomery County Public Schools","Shawsville Middle","Homeless",NA,NA
"Montgomery County Public Schools","Shawsville Middle","Male",82.5,17.5
"Montgomery County Public Schools","Shawsville Middle","Multiple Races",100,0
"Montgomery County Public Schools","Shawsville Middle","Students with Disabilities",83.3,16.7
"Montgomery County Public Schools","Shawsville Middle","White",83.5,16.5
"Nelson County Public Schools","Nelson County High","All Students",85.6,14.4
"Nelson County Public Schools","Nelson County High","American Indian",NA,NA
"Nelson County Public Schools","Nelson County High","Asian",66.7,33.3
"Nelson County Public Schools","Nelson County High","Black",81.6,18.4
"Nelson County Public Schools","Nelson County High","Economically Disadvantaged",76.5,23.5
"Nelson County Public Schools","Nelson County High","English Learners",78.6,21.4
"Nelson County Public Schools","Nelson County High","Female",86.8,13.2
"Nelson County Public Schools","Nelson County High","Hispanic",82.2,17.8
"Nelson County Public Schools","Nelson County High","Homeless",NA,NA
"Nelson County Public Schools","Nelson County High","Male",84.6,15.4
"Nelson County Public Schools","Nelson County High","Multiple Races",87.5,12.5
"Nelson County Public Schools","Nelson County High","Students with Disabilities",77.4,22.6
"Nelson County Public Schools","Nelson County High","White",86.6,13.4
"Nelson County Public Schools","Nelson Middle","All Students",88.6,11.4
"Nelson County Public Schools","Nelson Middle","Black",84.6,15.4
"Nelson County Public Schools","Nelson Middle","Economically Disadvantaged",83.9,16.1
"Nelson County Public Schools","Nelson Middle","English Learners",100,0
"Nelson County Public Schools","Nelson Middle","Female",87.9,12.1
"Nelson County Public Schools","Nelson Middle","Hispanic",89.3,10.7
"Nelson County Public Schools","Nelson Middle","Homeless",NA,NA
"Nelson County Public Schools","Nelson Middle","Male",89.4,10.6
"Nelson County Public Schools","Nelson Middle","Multiple Races",86.2,13.8
"Nelson County Public Schools","Nelson Middle","Students with Disabilities",82.3,17.7
"Nelson County Public Schools","Nelson Middle","White",89.5,10.5
"Nelson County Public Schools","Rockfish River Elementary","All Students",95.1,4.9
"Nelson County Public Schools","Rockfish River Elementary","Asian",50,50
